ccode,Year,rgdpo,hc,inv_share,Penn_GDP_PPP,Penn_GDP_PPP_log,pop_log,GDP_pc_growth,pop_growth,KOF_econ,KOF_defacto,KOF_dejure,KOF_trade,KOF_trade_df,KOF_trade_dj,KOF_finance,KOF_finance_df,KOF_finance_dj,inflation,Trade_to_GDP,EXP_to_GDP,IMP_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,IncomeGroup,TOI,CTS,Lietal,Alcala,KAOPEN,chinn_ito_normed,LMF_FDI_total_stocks,LMF_open,LMF_EQ,LMF_FDI_total_stocks_GDP,LMF_open_gdp,LMF_EQ_gdp,UNC_FDI_in_stock_GDP,UNC_FDI_out_stock_GDP,UNC_FDI_total_stocks_GDP,FTI_panel,FTI_original,FTI_reduced,Tariff_RES,Tariff_WITS,HF_econ,HF_fin,HF_trade,FTI_original_ipo,FTI_reduced_ipo,Tariff_WITS_ipo,ComplexityGroup,LMF_open_pv,FIN_CUR,CAPITAL,period
ALB,2014,30528.970703125,2.93076586723328,22.6012170314789,10.4523530107624,2.34682712155821,1.0718489703433,4.96709459904956,0.0615423602444265,66.5907516479492,62.8464431762695,70.3350601196289,74.379997253418,63.8992805480957,84.860725402832,58.8015022277832,61.7936058044434,55.8093986511231,1.61304235314414,75.4078655927631,28.2130089398471,47.194856652916,2889104,3732085757.19194,3668810926.68209,6243050952.22565,5944692234.86671,Upper middle income,5.35368707699365,4.20492475339191,0.570169198134629,313150.339727511,-0.141151502728462,0.516441917419434,7045,19065,311,0.529858604091456,1.43388989169675,0.0233904933814681,32.47119,1.87279,34.34398,8.21,8.21,8.32,,97.588294651,66.9,75,87.5,8.21,8.32,97.588294651,lec,107.1987762,,,"(2010,2015]"
ARG,1995,378327.09375,2.61953449249268,17.5363332033157,10.8109468450015,2.38055921754723,3.55519993127342,10.1703554103593,1.2557586682695,49.2699661254883,33.0428123474121,65.4971237182617,31.9304695129395,17.8325634002686,46.028377532959,66.6094741821289,48.2530670166016,84.9658660888672,,19.7714230903755,9.68041025959015,10.0910128307854,34828170,24978532000,36385381307.3708,26038017000,29716358765.2826,High income,7.81842484404381,21.1805449032442,0.207612246639002,122540.840424032,1.83410060405731,0.979761636257172,38687,240579,14784,0.12505535639823,0.777669309766323,0.0477891381857324,10.00747,3.82395,13.83142,8.42,8.54,7.31,90.5,90.124238991,68,70,58.4,8.54,7.31,90.124238991,mec,84.51350403,100,100,"(1990,1995]"
ARG,1996,489127.03125,2.62702393531799,18.5766398906708,13.8094700420256,2.62535459174103,3.56726764160485,24.4795374193799,1.20677103314302,48.7341804504395,34.6161003112793,62.8522491455078,30.7098007202148,18.4698371887207,42.9497680664063,66.758544921875,50.7623672485352,82.7547225952148,,21.5064684057215,10.4285967560139,11.0778716497076,35246374,28381400000,39167696785.6267,30148400000,34925366306.9393,High income,7.6632332956412,25.0588078817038,0.21799383012271,110015.158512997,1.02153646945953,0.789164698123932,45963,274926,17643,0.141002908225246,0.843403727927552,0.0541242806130588,11.37406,4.19427,15.56833,,,,90.0500030517578,86.635827985,74.7,70,60,8.356,7.238,86.635827985,mec,91.11592865,100,100,"(1995,2000]"
ARG,1997,504991.6875,2.63453459739685,20.385468006134,14.0925412382394,2.64564566722366,3.57889630152019,2.02910754826351,1.16286599153375,50.3611145019531,36.3176422119141,64.4045944213867,29.7389907836914,18.6652717590332,40.8127098083496,70.9832458496094,53.9700126647949,87.996467590332,,23.3361788437439,10.5608501019262,12.7753287418177,35657429,30928400000,43937319883.7772,37413700000,44310354661.9124,High income,7.49378384777067,30.979222746029,0.235759190228006,123803.39175521,2.09040427207947,1.03988084793091,58118,320891,24012,0.165698726995396,0.914884032559267,0.0684599923020998,13.23097,5.04962,18.28059,,,,89.75,86.07148236,73.3,70,60,8.172,7.166,86.07148236,mec,98.57100677,100,100,"(1995,2000]"
ARG,1998,503958.1875,2.64206695556641,20.9833532571793,13.9055214484688,2.63228598777163,3.59020731554873,-1.33596794520274,1.1311014028546,51.4242210388184,38.6522369384766,64.1962127685547,29.9655361175537,19.3875541687012,40.5435218811035,72.8829116821289,57.916919708252,87.8488998413086,,23.3500279730689,10.4155819610919,12.934446011977,36063459,31137200000,48604954076.4381,38667300000,48038596282.0621,High income,7.32285486491743,31.9365459300184,0.237674907687222,126237.468654785,1.83410060405731,0.979761636257172,66233,345793,20779,0.184937091288833,0.965530047076825,0.058019534369433,14.74603,5.65649,20.40252,,,,88.8499984741211,84.33257474,70.9,70,60,7.988,7.094,84.33257474,mec,103.7412872,100,100,"(1995,2000]"
ARG,1999,474434.9375,2.64962077140808,19.0087378025055,12.9457013751642,2.56076379289946,3.60136069773002,-7.15221948721712,1.11533821812864,52.3055725097656,40.8960990905762,63.7150344848633,29.5288276672363,19.4765110015869,39.5811462402344,75.0823059082031,62.3156852722168,87.8489227294922,,21.3827449624898,9.82717451494235,11.5555704475475,36467218,27862300000,47992396563.0453,32762700000,42626198507.0667,High income,7.21201543686972,24.4407031151845,0.223127202916852,116442.694958807,1.57779693603516,0.91964248418808,82206,368120,16375,0.241899033651526,1.08322838074836,0.0481850068856743,20.14456,6.54424,26.6888,,,,88.8499984741211,86.97784194,70.6,70,61.2,7.804,7.022,86.97784194,mec,115.8434906,100,100,"(1995,2000]"
ARG,2000,471358,2.65719604492188,17.7345216274261,12.7196544787325,2.54314839392138,3.61246949630247,-1.76153989780801,1.11087985724518,53.1802558898926,42.5626335144043,63.7978782653809,29.5740489959717,19.8662891387939,39.2818107604981,76.7864608764648,65.2589797973633,88.3139495849609,,22.6224447777343,10.9863752325576,11.6360695451767,36870787,31223690400,49289338916.5561,33070146000,42559032988.0605,High income,7.07158525623561,24.2656590806538,0.22317817379129,123560.132362956,1.32149338722229,0.859523332118988,88910,372325,11224,0.260932088982802,1.0926953102072,0.0329400716088513,21.93766,6.86056,28.79822,7.45,7.62,6.95,89.6999969482422,87.49330205,70,70,62,7.62,6.95,87.49330205,mec,117.2442245,100,100,"(1995,2000]"
ARG,2001,443034.46875,2.68300294876099,15.8027946949005,11.8232356285512,2.47006671635769,3.62358085822267,-7.30816775636884,1.11113619201975,47.3602447509766,42.1622467041016,52.5582542419434,29.9671840667725,20.6310443878174,39.3033256530762,64.7533111572266,63.6934471130371,65.8131790161133,,21.8522554515453,11.5790080825317,10.2732473690136,37275652,31112418400,50640355142.009,27603881800,36623502524.091,High income,7.00193255401644,22.1504660666331,0.209110495677413,119965.405464941,-1.21001923084259,0.265725812315941,100787,359163,9019,0.312774838239173,1.1145995934644,0.0279888900957376,27.28941,7.30519,34.5946,7.23,7.34,6.77,89.1269989013672,88.624218954,68.6,70,65,7.34,6.77,88.624218954,mec,125.0911026,81.25,75,"(2000,2005]"
ARG,2002,379488.25,2.70905995368958,11.6083770990372,10.0156917455888,2.30415303768494,3.63467059687958,-16.591367867275,1.10897386569162,49.6967926025391,58.6110572814942,40.7825317382813,30.1706218719482,34.0751457214355,26.2660961151123,69.2229690551758,83.1469650268555,55.2989730834961,,41.7527243585642,28.3825969991682,13.370127359396,37681749,27736610298.2555,52206638632.5193,13065823829.1753,18289940526.9557,High income,6.91750590046692,30.4945118382528,0.237655638370933,100674.22454648,-1.21001923084259,0.265725812315941,63764,315163,7631,0.530933071325085,2.62421522423354,0.0635397758497227,39.01699,18.64438,57.66137,6.96,7.01,6.42,88.1539916992188,87.98661916,65.7,70,53,7.01,6.42,87.98661916,mec,303.3082886,37.5,25,"(2000,2005]"
ARG,2003,411725.46875,2.73537039756775,14.3602564930916,10.7473802314028,2.37466202546976,3.64569476379251,7.05089877848155,1.1024166912923,51.009162902832,55.4947853088379,46.5235443115234,28.0747623443604,31.8015441894531,24.3479747772217,73.9435653686524,79.1880264282227,68.699104309082,,40.6447480311085,25.9309429264225,14.7138051046861,38087868,33084505277.8061,55336618844.529,18772898618.6064,25160624642.2197,High income,6.79674465337748,31.2699833331491,0.248394892225674,116241.863009946,-0.141151502728462,0.516441917419434,69762,340053,9593,0.457176934721776,2.22849672003303,0.0628665797251512,34.36384,15.30845,49.67229,6.82,6.91,6.02,84.0922241210938,87.12620243,56.3,50,54,6.91,6.02,87.12620243,mec,250.6817627,62.5,37.5,"(2000,2005]"
ARG,2004,450377.65625,2.76193618774414,17.1484604477882,11.6290429416611,2.45350567093984,3.65658079597392,7.88436454700801,1.08860321814115,51.5128555297852,53.7268257141113,49.2988815307617,31.4163703918457,31.1706924438477,31.6620483398438,71.6093368530274,76.282958984375,66.9357223510742,,40.692646108947,23.8476194239892,16.8450266849578,38491972,39266996605.7973,59826719523.6325,27736672323.6712,35255515116.4463,High income,6.63472807879673,32.4011530416629,0.271092930421104,135172.881072858,-0.141151502728462,0.516441917419434,74311,359584,10833,0.407936847768208,1.97396836898821,0.059468717577115,31.64087,13.13896,44.77983,6.74,6.65,6.54,85.6717376708984,90.913681726,53.9,50,61.6,6.65,6.54,90.913681726,mec,184.1171417,68.75,37.5,"(2000,2005]"
ARG,2005,489787.65625,2.7887601852417,17.5797775387764,12.5119821473033,2.52668675695597,3.66728518563163,7.31810860161319,1.07043896577093,47.1297912597656,50.204288482666,44.0552940368652,30.2791652679443,30.4768466949463,30.0814800262451,63.9804191589356,69.9317321777344,58.029109954834,,40.5512709706238,23.2458767338576,17.3053942367663,38892931,46198180131.0044,67536487416.1127,34392237786.5721,40842890904.523,High income,6.5014956956473,34.3585460148465,0.277636522917683,149553.539911256,-0.141151502728462,0.516441917419434,78479,313666,12055,0.354449417598945,1.41666854853643,0.0544462560577388,27.48388,11.63374,39.11762,6.42,6.42,6.09,86.9943466186524,91.5214367385,51.7,50,56.2,6.42,6.09,91.5214367385,mec,123.3399277,,,"(2000,2005]"
ARG,2006,532171.125,2.7969753742218,16.8837547302246,13.452629928701,2.59917462066603,3.67779048048682,7.24878637100623,1.05052948551951,45.0559120178223,49.4100570678711,40.7017669677734,28.9516258239746,30.3948574066162,27.508394241333,61.1601943969727,68.4252624511719,53.8951377868652,,40.4334798719151,23.0266946038115,17.4067852681036,39289878,53550250227.3909,71292328739.2415,40480743015.8524,45332285481.5857,High income,6.43717247194493,35.3098892801259,0.280310267183898,161356.724454903,-0.847683548927307,0.350716120004654,86150,335317,16368,0.327511747084138,1.27475631453293,0.0622253311233102,25.54798,11.04845,36.59643,6.66,6.66,6,,91.2964293955,53.4,50,67.4,6.66,6,91.2964293955,mec,112.5228806,,,"(2005,2010]"
ARG,2007,585903.375,2.80521464347839,17.95624345541,14.6584967194931,2.68502014819196,3.68813473871086,8.58455275259251,1.0344258224035,44.450252532959,47.7589263916016,41.1415786743164,29.6033420562744,30.6111145019531,28.5955696105957,59.2971611022949,64.90673828125,53.6875839233399,,40.945170618571,22.6627503115066,18.2824203070644,39684295,65162321195.025,77112956639.8029,52567536062.3157,54235675229.3107,High income,6.43335815614075,38.3375954206292,0.28957193678853,184190.949160264,-0.847683548927307,0.350716120004654,95117,385530,21685,0.288439611358426,1.16910881721474,0.0657591489671401,22.85574,9.50576,32.3615,6.75,6.75,6.21,,90.9995377955,54,50,61.4,6.75,6.21,90.9995377955,mec,100.724205,,,"(2005,2010]"
ARG,2008,625483.6875,2.81347823143005,17.8102552890778,15.4890213760607,2.74013147464477,3.69839377578544,5.51113264528138,1.0259037074579,41.9695320129395,43.4399757385254,40.4990882873535,29.2113189697266,30.5417823791504,27.8808536529541,54.7277488708496,56.3381690979004,53.1173248291016,,40.4026733790382,22.0609003826242,18.341772996414,40080160,79762958392.3012,77683495718.0705,66316154417.0834,61591218916.5476,High income,6.39826542569555,41.6012010283583,0.292799115365647,218678.522814452,-0.847683548927307,0.350716120004654,105855,386905,10550,0.260725958803057,0.952965633089574,0.0259851576720254,20.57603,7.87345,28.44948,6.76,6.76,6.25,,92.0938812155,54.2,50,69.6,6.76,6.25,92.0938812155,mec,81.11126709,,,"(2005,2010]"
ARG,2009,583469.0625,2.82176613807678,14.1692787408829,14.3009198340957,2.66032385925979,3.70866757049563,-7.98076153849805,1.02737947101903,41.7522926330566,42.5717658996582,40.9328155517578,27.4700298309326,27.0249347686768,27.9151287078857,56.034553527832,58.1186027526856,53.9505043029785,,34.0571269054879,19.5609850560818,14.4961418494061,40482788,65133480388.4946,70422336693.7513,48268743529.5373,50248309418.1331,High income,6.34611783606236,34.0957574018751,0.253098125895849,170643.82775354,-0.847683548927307,0.350716120004654,109407,400563,14080,0.289052633803784,1.05828502887699,0.0371992750368558,23.25047,8.78096,32.03143,6.41,6.41,5.91,,90.9287720775,52.3,50,70,6.41,5.91,90.9287720775,mec,89.76924896,,,"(2005,2010]"
ARG,2010,653054.75,2.83007836341858,16.4796352386475,15.841658208159,2.76264306576573,3.71901790379387,10.2319206505934,1.03503332982404,40.0004653930664,39.9416084289551,40.0593185424805,25.8062725067139,25.7660388946533,25.8465061187744,54.1946525573731,54.1171798706055,54.2721290588379,,34.9710132635696,18.9338234053709,16.0371898581987,40788453,80208867995.7171,80208867995.7171,67937933972.3653,67937933972.3653,High income,6.28969374926465,37.6439490071424,0.267137348326114,198866.288224094,-0.847683548927307,0.350716120004654,118783,440772,16645,0.256639997925845,0.952322513876316,0.0359628294072021,20.06872,7.11119,27.17991,6.13,6.13,5.46,,90.7419384435,51.2,45,69.5,6.13,5.46,90.7419384435,mec,79.79627991,,,"(2005,2010]"
ARG,2011,709658.875,2.8585422039032,17.2584280371666,17.0358146072092,2.83531786958858,3.72946652724349,7.26748038228573,1.04486234496268,36.879711151123,37.3043022155762,36.4551277160645,24.0923976898193,25.9055576324463,22.2792377471924,49.6670379638672,48.7030487060547,50.6310234069824,,35.2061549999644,18.4492091453155,16.7569458546489,41261490,97810932629.3764,83536585369.3008,88839174034.695,82903720962.9075,High income,6.22223263035278,38.9027059876809,0.272366035162746,223267.19884811,-0.847683548927307,0.350716120004654,125090,465389,14480,0.223436445022381,0.831280387820937,0.0258642555274129,17.40895,6.01544,23.42439,5.71,5.7,5.23,,91.1494847995,51.7,45,69.5,5.7,5.23,91.1494847995,mec,70.9944458,,,"(2010,2015]"
ARG,2012,714301.875,2.88729238510132,14.9208009243011,16.9681040084789,2.83133534692764,3.73997032017734,-0.398252266094179,1.05037929338478,31.7207641601563,36.0259819030762,27.4155387878418,24.8440055847168,25.1605701446533,24.5274391174316,38.5975151062012,46.8913841247559,30.3036422729492,,30.5265423717108,16.2378594620246,14.2886829096862,41733271,88655850853.7721,80104642370.9845,78013690406.706,78983814819.8065,High income,6.18372282149782,34.0127096661808,0.258374772591135,208499.534959802,-1.91655135154724,0.1,133740,475896,14778,0.220068814698899,0.783085603708293,0.0243171597399456,16.97633,5.66175,22.63808,3.7,3.7,5.27,,91.0308550815,48,40,67.6,3.7,5.27,91.0308550815,mec,67.95121002,,,"(2010,2015]"
ARG,2013,719807.625,2.91633176803589,15.1498213410378,16.9207545947276,2.82854095098076,3.7504430378284,-0.279439594687592,1.04727176510551,32.1286811828613,35.5626411437988,28.6947193145752,26.5011558532715,25.1904067993164,27.8119068145752,37.7562026977539,45.9348793029785,29.5775260925293,,29.3339290021037,14.6171733884386,14.7167556136651,42202935,80690471898.442,77284766433.7049,81240190816.9153,82050662341.2375,High income,6.17407046808562,33.5052938566005,0.269108672077286,207212.886840101,-1.91655135154724,0.1,126074,463996,19380,0.202673397046885,0.745908320003858,0.0311548014243114,14.40329,5.62796,20.03125,3.85,3.84,5.65,,91.358569963,46.7,40,67.6,3.84,5.65,91.358569963,mec,68.76995087,,,"(2010,2015]"
ARG,2014,697732.5625,2.9456627368927,14.4877076148987,16.2333174878982,2.78706576531513,3.76077011574639,-4.14751856656395,1.03270779179909,33.0736083984375,36.0890617370606,30.0581607818604,24.2361679077148,25.0991554260254,23.3731803894043,41.9110565185547,47.0789680480957,36.7431449890137,,28.4067936452275,14.4054785893756,14.0013150558519,42669500,75818867911.0825,71890933183.0461,73691675720.0984,72631250477.273,High income,6.17229536235845,27.9844227303984,0.257839504573941,188057.424731274,-1.91655135154724,0.1,118579,468102,24283,0.217682391772865,0.859322164579409,0.0445777205021166,15.82152,6.38034,22.20186,3.6,3.6,4.83,,90.937062676,44.6,30,68.9,3.6,4.83,90.937062676,lec,77.75660706,,,"(2010,2015]"
ARM,2004,14584.177734375,3.09786248207092,17.701444029808,4.86040102311561,1.58112094955259,1.0988162746924,6.88106521300207,-0.571382022235079,67.8871841430664,68.0362930297852,67.7380752563477,67.9712600708008,69.5623245239258,66.3802032470703,67.8031158447266,66.5102767944336,69.0959625244141,6.96126135875792,75.0372101843166,29.7348131660371,45.3023970182795,3000720,1063499859.40575,1883866208.70103,1620292436.02962,3204883974.68758,Upper middle income,5.13046314492363,2.70886305058661,0.591237952548129,205372.127750268,2.34670782089233,1.1,1039,3646,9,0.290466871680179,1.01928990774392,0.00251607492311993,27.24546,0.00923,27.25469,7.3,7.82,6.95,97.9535217285156,97.59209611,70.3,70,80,7.82,6.95,97.59209611,"",60.73656845,,,"(2000,2005]"
ARM,2005,16196.87109375,3.09766578674316,19.8650494217873,5.43289613858649,1.69247235061627,1.09234573060657,11.1351401063684,-0.647054408582903,66.4025192260742,62.848316192627,69.9567260742188,65.7677917480469,64.3380737304688,67.1974868774414,67.0372619628906,61.3585510253906,72.7159729003906,0.638928002410126,72.0389566828983,28.809242612927,43.2297140699714,2981269,1411788277.09511,2190703815.3585,2118459147.50892,3658593816.25619,Upper middle income,4.88804155089631,2.85902499601981,0.555852269580396,237744.408932044,2.34670782089233,1.1,1390,4032,7,0.283673469387755,0.822857142857143,0.00142857142857143,26.46028,0.13974,26.60002,7.08,7.08,6.44,97.9558029174805,97.724835264,69.8,70,80,7.08,6.44,97.724835264,"",48.65104675,,,"(2000,2005]"
ARM,2006,18483.001953125,3.10037350654602,21.9200223684311,6.24742353391709,1.83216914418301,1.08468235218895,13.9696793566743,-0.766337841761655,65.6837692260742,60.2115135192871,71.1560211181641,64.9167404174805,60.2957572937012,69.5377197265625,66.4507904052734,60.1272697448731,72.7743225097656,2.89235662459002,62.6091930629355,23.3589858676515,39.250207195284,2958307,1491343148.40578,2029926239.12067,2505910483.69341,3796192331.62098,Upper middle income,4.79282123960931,2.62643633498735,0.518557040518942,243672.114011695,2.34670782089233,1.1,1911,5207,5,0.299342105263158,0.815632832080201,0.000783208020050125,27.61005,0.45562,28.06567,7.28,7.28,6.72,,97.5349667815,70.6,70,80.6,7.28,6.72,97.5349667815,"",47.04822159,,,"(2005,2010]"
ARM,2007,21014.271484375,3.10308337211609,21.8386754393578,7.16463328778295,1.96915687892121,1.0760449224765,13.6987734738192,-0.863742971245518,64.1622772216797,58.1015357971192,70.223030090332,62.4770698547363,56.8210601806641,68.1330871582031,65.8474960327149,59.3820190429688,72.3129730224609,4.40736089644519,58.3364456815795,19.1856344208336,39.1508112607459,2932618,1766287387.91701,1958711760.82819,3604341802.81695,4289499574.18325,Upper middle income,4.75509799539439,2.85500631770037,0.519454244633741,290176.825786607,2.34670782089233,1.1,2632,7321,9,0.285900499674126,0.795242233326092,0.000977623289159244,26.34334,0.46593,26.80927,7.53,7.53,7.27,,97.581394598,68.6,60,85.6,7.53,7.27,97.581394598,"",46.80840302,,,"(2005,2010]"
